Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
20,Gabriel Inocêncio,Juventude,Juventude,"LB, RB",LB,1,30,250000,2024-12-31,14,980,Brazil,Brazil,right,175,68,no,7.81,4.132858000000001,1.744674,1.012,2.7549,6.888179,2.48,3.491594,0.09,2.0185,1.74,1.1,0.03,0.18,3.034473,0.0,0.46,0.460659,BRA1,Testing,2024,0.1087494771015799,0.1025044890347918,0.1056269830681859
21,Mayke,Palmeiras,Palmeiras,"RB, RCB",RB,1,31,3000000,2025-12-31,17,985,Brazil,Brazil,right,179,68,no,10.51,5.296968000000001,1.6425,1.82689,6.947501,13.153602,1.83,2.01152,1.46,0.640815,1.28,0.09,0.08,1.37,4.661865,0.73,1.01,1.37,BRA1,Testing,2024,0.7872549998965996,0.7365716659387959,0.7619133329176977
22,Gilberto,Bahia,Bahia,RB,RB,1,31,3000000,2026-06-30,13,1019,Brazil,Brazil,right,181,68,no,6.98,3.005232,1.058642,1.322595,7.243616,16.870716,3.36,3.708936,1.41,1.945625,2.65,0.44,0.07,0.71,3.531996,1.15,1.15,2.116976,BRA1,Testing,2024,0.9266867369042764,0.9583391792164603,0.9425129580603684
23,Bruno Gomes,Internacional,Internacional,"RB, RCMF, AMF",RB,1,23,2500000,2027-12-31,16,1028,Brazil,"Brazil, Italy",right,175,77,no,10.86,5.601789,1.048784,2.53771,6.306853,11.99825,1.75,3.59148,0.61,1.136052,1.4,0.0,0.1,0.96,6.218682,0.88,0.35,0.9625,BRA1,Testing,2024,0.634739016152879,0.6234028753668764,0.6290709457598778
24,Renê,Internacional,Internacional,LB,LB,1,32,900000,2024-12-31,13,1068,Brazil,Brazil,left,174,72,no,9.52,5.22153,2.863724,4.131558,8.427935999999999,17.023428,1.43,1.600724,0.76,0.41875,3.03,0.67,0.05,0.59,7.419108,0.84,0.42,1.432815,BRA1,Testing,2024,0.911006541625264,0.8622930942708317,0.8866498179480478
25,Bruno Pacheco,Fortaleza,Fortaleza,LB,LB,1,32,450000,2026-12-31,16,1109,Brazil,Brazil,left,174,74,no,7.79,3.326339,2.19298,1.86714,4.6284,4.710637999999999,1.7,2.432078,0.57,1.298494,2.11,0.73,0.01,0.32,3.16619,0.08,0.24,0.405588,BRA1,Testing,2024,0.1281876819282491,0.1009910665059967,0.1145893742171229
26,L. Godoy,Athletico Paranaense,Athletico Paranaense,RB,RB,1,29,3800000,2027-12-31,18,1184,Argentina,Argentina,right,173,71,no,6.61,3.194916,0.7615080000000001,3.418444,6.002128,9.957843000000002,2.05,1.138606,1.67,0.6096,1.14,0.23,0.05,0.53,3.574741999999999,0.53,1.22,1.598064,BRA1,Testing,2024,0.5877815420808599,0.5584000173192872,0.5730907797000735
27,Diogo Barbosa,Fluminense,Fluminense,LB,LB,1,31,600000,2024-12-31,16,1188,Brazil,Brazil,left,179,70,no,6.29,2.87737,0.9109849999999998,1.365852,4.546894,9.542313,2.35,2.497735,0.38,1.36441,2.65,1.14,0.07,0.61,3.790550000000001,0.45,0.91,1.136493,BRA1,Testing,2024,0.401335552690885,0.4165525801802863,0.4089440664355857
28,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,27,12000000,2027-12-31,13,1241,Brazil,Brazil,left,176,66,no,6.74,3.191562,0.799659,2.758082,7.980472,20.377545,3.12,2.0328,1.67,1.162594,2.47,0.15,0.05,0.87,4.788576,0.51,1.31,1.667355,BRA1,Testing,2024,0.9190476546959625,0.9387818475219866,0.9289147511089746
29,M. Trauco,Criciúma,Criciúma,LB,LB,1,32,1300000,2024-12-31,18,1255,Peru,Peru,left,175,70,no,7.39,3.80335,1.1456,5.093424,8.387205,9.321209,0.79,0.502095,0.22,0.288,0.5,0.07,0.05,0.57,5.810475,0.79,0.29,0.933933,BRA1,Testing,2024,0.4206627407253653,0.452756801553348,0.4367097711393566
