Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
30,0.5734,0.462511,0.433102,0.184428,0.310876,0.116045,0.333247,Cuiabano,Botafogo,Botafogo,LB,LB,1,21,0,,19,1517,Brazil,Brazil,left,179,82,no,BRA1,Testing,2024,Lateral Defensivo,0.333,31,64,51,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,12.0,24,21,54,49,60,81,62,67,15,23,6
31,0.441656,0.502123,0.0,0.33392,0.522505,0.375526,0.328426,Claudinho,Criciúma,Criciúma,RB,RB,1,23,1200000,2025-12-31,23,1623,Brazil,Brazil,right,180,75,no,BRA1,Testing,2024,Lateral Defensivo,0.328,32,64,50,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,20.0,21,64,30,23,23,68,67,0,53,64,64
32,0.193225,0.317676,0.446648,0.278193,0.43749,0.358591,0.312615,Bruno Tubarão,Atlético GO,Atlético GO,RB,RB,1,29,500000,2024-12-31,12,828,Brazil,Brazil,right,180,70,no,BRA1,Testing,2024,Lateral Defensivo,0.313,33,64,48,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,53.0,48,19,38,32,24,17,25,70,40,50,62
33,0.567127,0.40999,0.35317,0.263082,0.364419,0.072386,0.304266,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1800000,2026-12-31,7,647,Ecuador,Ecuador,right,178,69,no,BRA1,Testing,2024,Lateral Defensivo,0.304,34,64,46,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,14.0,32,28,40,41,63,78,50,56,37,35,1
34,0.306148,0.444302,0.325629,0.356708,0.407,0.304517,0.303091,Lucas Piton,Vasco da Gama,Vasco da Gama,LB,LB,1,23,7000000,2028-12-31,19,1841,Brazil,"Brazil, Italy",left,175,64,no,BRA1,Testing,2024,Lateral Defensivo,0.303,35,64,45,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,40.0,27,34,24,34,29,37,57,46,62,46,54
35,0.194479,0.206876,0.225626,0.253152,0.780654,0.386552,0.300755,S. Arias,Bahia,Bahia,RB,RB,1,32,2500000,2025-12-31,14,1329,Colombia,Colombia,right,177,70,no,BRA1,Testing,2024,Lateral Defensivo,0.301,36,64,43,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,52.0,57,46,43,2,21,18,10,28,32,96,67
36,0.252196,0.242903,0.030319,0.50325,0.660371,0.390892,0.293102,Marcelo,Fluminense,Fluminense,LB,LB,1,36,1300000,2024-12-31,12,872,Brazil,"Brazil, Spain",left,174,75,no,BRA1,Testing,2024,Lateral Defensivo,0.293,37,64,42,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,45.0,54,62,12,11,20,29,15,3,81,82,68
37,0.203262,0.35087,0.671016,0.346162,0.368128,0.20846,0.290209,Fábio,Grêmio,Grêmio,"RB, LB, RWB",RB,1,34,500000,2024-12-31,12,745,Brazil,"Brazil, Portugal",right,172,66,no,BRA1,Testing,2024,Lateral Defensivo,0.29,38,64,40,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,51.0,41,9,26,39,52,20,35,85,59,39,18
38,0.322459,0.542016,0.348633,0.190752,0.394951,0.301964,0.288644,M. Ponte,Botafogo,Botafogo,RB,RB,1,21,1500000,2026-12-31,12,944,Uruguay,Uruguay,right,183,77,no,BRA1,Testing,2024,Lateral Defensivo,0.289,39,64,39,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,38.0,19,30,51,37,30,40,70,53,20,42,53
39,0.122961,0.22226,0.185072,0.639561,0.454357,0.334923,0.266648,L. Godoy,Athletico Paranaense,Athletico Paranaense,RB,RB,1,29,3800000,2027-12-31,18,1184,Argentina,Argentina,right,173,71,no,BRA1,Testing,2024,Lateral Defensivo,0.267,40,64,37,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,59.0,55,52,5,30,26,7,14,18,92,53,59
