Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
E. Rodríguez,Vasco da Gama,10,right,BRA1,2024,Extremo,Extremo
A. Cruz,Atlético GO,1,left,BRA1,2024,Lateral Esquerdo,Lateral
M. França Silva,Corinthians,1,right,BRA1,2024,Lateral Direito,Lateral
Claudinho,Criciúma,1,right,BRA1,2024,Lateral Direito,Lateral
A. Bernabéi,Internacional,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Gabriel Menino,Palmeiras,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Adson,Vasco da Gama,10,left,BRA1,2024,Extremo,Extremo
Lucas Piton,Vasco da Gama,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Ewerthon,Juventude,1,right,BRA1,2024,Lateral Direito,Lateral
M. Gamarra,Athletico Paranaense,4,left,BRA1,2024,Zagueiro,Zagueiro
Hércules,Fortaleza,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
J. López,Palmeiras,12,left,BRA1,2024,Atacante,Atacante
Christian,Athletico Paranaense,9,right,BRA1,2024,Meia,Meia
Luiz Henrique,Botafogo,10,left,BRA1,2024,Extremo,Extremo
Lucas Freitas,Juventude,4,left,BRA1,2024,Zagueiro,Zagueiro
Julimar,Athletico Paranaense,10,right,BRA1,2024,Extremo,Extremo
Luan Cândido,Red Bull Bragantino,4,left,BRA1,2024,Zagueiro,Zagueiro
Welington,São Paulo,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Lucas Barbosa,Juventude,10,left,BRA1,2024,Extremo,Extremo
Igor Jesus,Botafogo,12,right,BRA1,2024,Atacante,Atacante
Lucão,Red Bull Bragantino,0,right,BRA1,2024,Goleiro,Goleiro
Kaique Rocha,Athletico Paranaense,4,right,BRA1,2024,Zagueiro,Zagueiro
Léo Linck,Athletico Paranaense,0,right,BRA1,2024,Goleiro,Goleiro
Igor Gomes,Internacional,4,right,BRA1,2024,Zagueiro,Zagueiro
Ramon,Cuiabá,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Yuri Alberto,Corinthians,12,right,BRA1,2024,Atacante,Atacante
Denilson,Cuiabá,8,right,BRA1,2024,Segundo Volante,Segundo Volante
